University Rating,SOP,MTH,ENG,Score,Pass,Keep_PGE,Research,Paper,CET4,CET6,CGPA,DV2CL,DV2SL
3,5,88,66,281,1,0,0,0,452,440,3.88,8,-60
5,5,100,73,337,1,0,1,0,582,482,3.03,77,17
4,2,60,60,273,0,0,1,0,425,425,3.5,0,-87
3,4,60,74,220,0,1,1,1,511,449,3.2,27,-8
3,4,71,59,321,1,0,1,0,467,405,2.728,31,-36
3,5,94,71,354,0,1,1,0,493,464,3,91,-25
3,4,112,59,330,0,0,0,0,462,415,3.7,50,10
5,5,129,77,380,1,0,0,0,502,448,2.96,20,20
3,5,80,70,263,0,1,0,0,450,499,3,-10,-10
4,5,110,70,360,0,1,1,0,650,487,3.85,-7,-20
5,5,94,70,323,1,1,1,0,434,441,3.208,50,-6
5,5,83,73,306,0,1,0,0,573,545,3.426666667,33,6
3,5,59,68,274,0,0,0,0,472,451,3.18,1,-66
3,5,105,78,341,1,1,1,0,483,449,3.3716,68,-3
4,5,112,82,386,1,1,1,0,488,496,3.4,113,31
3,4,90,75,310,0,0,1,0,519,520,2.568,37,-9
3,4,100,70,340,1,1,1,1,490,460,3.2,67,30
3,4,56,70,318,0,0,0,0,513,446,3.03,45,45
3,5,83,63,329,1,1,1,0,430,405,2.96,56,-7
3,5,81,74,339,1,1,1,1,505,512,3.9,66,-41
3,5,80,63,319,0,0,0,0,431,405,3.2,46,-20
4,5,100,50,350,1,1,0,0,450,395,3.5,90,10
3,4,90,68,304,0,1,0,0,459,463,2.56,31,-11
3,5,77,65,287,0,1,1,0,424,432,2.7,14,2
3,5,56,61,266,0,0,0,0,456,426,3.2,3,-7
3,5,90,50,312,1,1,1,0,442,340,3.6,49,-8
3,5,106,76,369,1,1,1,0,474,474,1.8,96,-21
3,5,77,74,334,0,1,0,0,512,451,3.3,61,-50
5,5,146,76,416,1,1,1,1,620,576,3.4,143,17
3,5,63,65,292,0,1,1,0,475,437,3.18,2,-63
5,5,100,62,340,0,1,0,0,450,425,2.8,67,0
3,4,89,65,323,0,0,0,0,450,438,2.64,51,-32
3,4,126,87,392,1,1,1,0,566,577,3.4,32,2
5,5,140,70,390,1,1,1,1,470,440,3,80,40
4,5,123,63,386,1,1,1,0,517,429,3.85,35,18
4,5,86,60,321,0,1,1,0,560,483,3.44,48,-20
3,5,125,70,360,1,1,1,0,447,500,3.8,87,14
3,5,89,65,277,1,1,0,0,436,447,3.18,4,-3
3,4,74,62,310,0,1,0,0,437,437,3.12,37,-14
3,3,110,85,388,1,1,1,0,479,405,3.28,113,113
3,5,110,70,360,1,1,0,0,431,405,3.28,87,30
4,5,63,69,312,0,1,0,0,500,520,3.18,34,-13
3,5,103,58,352,0,1,1,0,427,389,3.48,79,-11
3,4,90,50,330,0,1,1,0,425,405,3.4,57,4
3,4,68,65,304,1,1,0,0,497,430,3.4,31,-6
3,3,71,62,295,0,0,1,0,453,433,2.55,22,-55
3,5,92,60,352,1,1,1,0,431,360,3.18,79,2
3,5,80,53,318,0,1,0,0,430,350,3.18,45,34
3,3,66,62,306,0,1,1,0,477,502,3.18,36,16
3,5,77,59,278,0,0,1,1,493,428,2.688,5,-41
3,4,106,71,332,0,1,0,0,472,551,3.62,59,17
3,5,106,69,346,0,1,1,0,512,450,3.18,73,-14
3,5,102,69,368,1,1,1,1,494,450,3.18,28,13
3,4,105,72,356,0,0,1,0,488,405,2.73,83,6
3,3,102,70,313,1,1,1,0,479,405,2.9,41,34
3,3,100,71,331,1,1,0,0,390,405,2.97,58,42
5,5,101,77,359,1,1,0,0,489,577,3.18,44,4
3,5,71,52,299,0,0,1,1,495,405,3.4,26,-27
3,3,99,63,330,0,0,0,0,445,405,3.5,57,-10
3,5,109,59,313,0,1,1,0,492,405,2.536,40,40
3,3,82,58,318,1,0,1,0,545,438,3.65,45,-19
3,4,83,52,299,1,0,1,1,411,405,2.88,0,-32
3,5,86,69,316,1,0,1,1,482,430,3.36,53,-24
3,5,89,41,303,1,0,0,0,434,390,3.06,40,-29
3,4,95,64,309,0,0,1,0,443,425,3.33,36,36
3,5,115,72,362,0,0,1,0,468,412,3.54,89,-3
3,3,99,70,345,1,0,1,1,518,417,3,72,5
4,4,120,81,369,1,0,1,1,572,548,3.2,97,43
3,5,81,74,359,1,0,1,0,447,409,3.5,86,4
3,5,87,72,283,0,0,0,0,448,450,3.2,10,-17
3,3,88,65,329,1,0,0,0,526,487,3.3,56,-24
3,4,107,62,364,1,0,1,0,442,424,2.68,91,-6
3,5,102,78,384,1,0,1,1,517,478,3.26,111,14
3,5,62,58,293,0,1,0,0,555,525,3.1,20,-21
3,3,80,71,328,0,1,1,0,445,424,3.3,49,12
5,5,44,64,263,0,1,0,0,568,431,3.3,0,-130
4,3,98,75,339,1,0,0,0,547,496,3.48,66,-11
3,4,60,73,293,0,1,0,0,512,502,3.5,20,-7
4,2,90,67,337,1,0,1,0,549,457,3.34,64,-13
3,4,101,57,331,0,1,1,1,435,410,3.29,58,-18
3,5,111,75,349,1,0,1,0,442,456,3.45,76,76
3,5,89,59,328,0,0,0,0,489,376,3.01,55,-12
4,3,100,70,300,0,0,0,0,503,464,2.7,27,-30
3,4,92,68,313,0,1,1,0,485,432,2.7,40,4
4,5,91,62,347,1,0,1,0,480,425,2.96,72,7
3,3,79,61,297,0,0,0,0,448,410,3.4,24,-23
4,2,90,80,300,1,0,1,1,600,560,3.6,10,-15
3,5,95,81,316,1,0,0,0,594,545,2.92,43,-37
3,5,64,65,301,1,0,0,0,486,426,2.64,28,0
3,2,97,73,340,0,1,1,0,492,473,3.2,67,-18
5,5,94,74,319,0,1,1,1,521,463,3,46,-21
3,4,86,53,308,1,0,0,0,390,350,2.3,35,-22
5,4,80,60,350,0,1,0,0,430,396,3.1,77,5
3,4,101,72,317,0,0,1,0,480,452,3.85,44,-21
3,3,106,56,340,1,0,1,0,497,413,3,67,1
3,5,99,56,302,0,1,1,0,415,350,2.9,29,-9
3,5,742,47,274,0,1,0,1,437,300,2.93,0,-16
